[2025-09-19T15:48:38.029+0545] {processor.py:186} INFO - Started process (PID=13916) to work on /home/ashok/miniconda3/envs/mysecondenvironment/lib/python3.8/site-packages/airflow/example_dags/example_datasets.py
[2025-09-19T15:48:38.029+0545] {processor.py:914} INFO - Processing file /home/ashok/miniconda3/envs/mysecondenvironment/lib/python3.8/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-09-19T15:48:38.030+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.030+0545] {dagbag.py:588} INFO - Filling up the DagBag from /home/ashok/miniconda3/envs/mysecondenvironment/lib/python3.8/site-packages/airflow/example_dags/example_datasets.py
[2025-09-19T15:48:38.039+0545] {processor.py:925} INFO - DAG(s) 'dataset_produces_1', 'consume_1_and_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1', 'dataset_produces_2', 'dataset_consumes_1_and_2' retrieved from /home/ashok/miniconda3/envs/mysecondenvironment/lib/python3.8/site-packages/airflow/example_dags/example_datasets.py
[2025-09-19T15:48:38.058+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.058+0545] {dag.py:3239} INFO - Sync 10 DAGs
[2025-09-19T15:48:38.068+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.068+0545] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-09-17 01:00:00+00:00, run_after=2025-09-17 01:00:00+00:00
[2025-09-19T15:48:38.070+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.069+0545] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-09-19T15:48:38.070+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.070+0545] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-09-19T15:48:38.070+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.070+0545] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-09-19T15:48:38.071+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.070+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-09-19T15:48:38.071+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.071+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-09-19T15:48:38.071+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.071+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-09-19T15:48:38.071+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.071+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-09-19T15:48:38.072+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.072+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-09-18 00:00:00+00:00, run_after=2025-09-19 00:00:00+00:00
[2025-09-19T15:48:38.073+0545] {logging_mixin.py:190} INFO - [2025-09-19T15:48:38.073+0545] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-09-19T15:48:38.095+0545] {processor.py:208} INFO - Processing /home/ashok/miniconda3/envs/mysecondenvironment/lib/python3.8/site-packages/airflow/example_dags/example_datasets.py took 0.070 seconds
